Time;win_mem.mean;win_cpu.mean;Labels
2020-03-25T11:22:20+01:00;2.479.190.016,00;9.725.980.000.000.000,00;-1
2020-03-25T11:22:30+01:00;2.479.783.936,00;9.667.830.000.000.000,00;-1
2020-03-25T11:22:40+01:00;2.479.628.288,00;8.944.560.000.000.000,00;-1
2020-03-25T11:22:50+01:00;2.519.162.880,00;971.825.000.000.000,00;1
2020-03-25T11:23:01+01:00;2.520.113.152,00;8.736.970.000.000.000,00;-1
2020-03-25T11:23:10+01:00;2.445.045.760,00;8.848.330.000.000.000,00;-1
2020-03-25T11:23:20+01:00;2.333.958.144,00;7.596.270.000.000.000,00;-1
2020-03-25T11:23:30+01:00;2.337.886.208,00;5.210.860.000.000.000,00;-1
2020-03-25T11:23:40+01:00;2.307.162.112,00;7.750.680.000.000.000,00;-1
2020-03-25T11:23:50+01:00;2.317.369.344,00;7.944.870.000.000.000,00;-1
2020-03-25T11:24:00+01:00;2.331.774.976,00;7.079.930.000.000.000,00;-1
2020-03-25T11:24:11+01:00;2.277.265.408,00;6.587.950.000.000.000,00;-1
2020-03-25T11:24:20+01:00;2.298.470.400,00;7.169.190.000.000.000,00;-1
2020-03-25T11:24:30+01:00;2.323.447.808,00;7.229.830.000.000.000,00;-1
2020-03-25T11:24:40+01:00;2.328.313.856,00;457.185.000.000.000,00;1
2020-03-25T11:24:50+01:00;2.328.391.680,00;6.872.210.000.000.000,00;-1
2020-03-25T11:25:00+01:00;2.470.694.912,00;7.774.290.000.000.000,00;-1
2020-03-25T11:25:10+01:00;2.500.874.240,00;8.043.660.000.000.000,00;-1
2020-03-25T11:25:21+01:00;2.514.903.040,00;8.797.750.000.000.000,00;-1
2020-03-25T11:25:30+01:00;2.517.434.368,00;813.701.000.000,00;1
2020-03-25T11:25:40+01:00;2.546.446.336,00;8.291.110.000.000.000,00;-1
2020-03-25T11:25:50+01:00;2.539.225.088,00;8.180.320.000.000.000,00;-1
2020-03-25T11:26:00+01:00;2.549.137.408,00;7.129.180.000.000.000,00;-1
2020-03-25T11:26:10+01:00;2.552.373.248,00;7.017.350.000.000.000,00;-1
2020-03-25T11:26:20+01:00;2.540.675.072,00;8.654.790.000.000.000,00;-1
2020-03-25T11:26:31+01:00;2.549.055.488,00;6.592.790.000.000.000,00;-1
2020-03-25T11:26:40+01:00;2.632.589.312,00;7.882.730.000.000.000,00;-1
2020-03-25T11:26:50+01:00;2.636.734.464,00;797.519.000.000.000,00;1
2020-03-25T11:27:00+01:00;2.636.140.544,00;8.736.990.000.000.000,00;-1
2020-03-25T11:27:10+01:00;2.612.604.928,00;8.287.050.000.000.000,00;-1
